return_period,duration,longitude,latitude,historical_low,historical,historical_upp,ssp245_low,ssp245,ssp245_upp,ssp585_low,ssp585,ssp585_upp
2,1,113.89,22.27,62.63,77.20,91.77,82.21,101.02,119.83,100.06,117.44,134.82
2,2,113.89,22.27,96.72,118.26,139.79,121.43,150.22,179.02,152.44,180.38,208.32
2,3,113.89,22.27,119.21,145.95,172.70,145.04,181.78,218.52,189.31,225.81,262.31
2,4,113.89,22.27,133.16,163.79,194.42,158.10,199.14,240.19,211.59,253.51,295.42
2,5,113.89,22.27,144.96,178.39,211.82,170.78,216.19,261.60,229.22,277.51,325.80
2,6,113.89,22.27,153.51,189.70,225.90,181.68,230.31,278.95,244.18,296.85,349.52
2,9,113.89,22.27,167.56,208.94,250.33,200.16,253.84,307.52,276.33,336.09,395.84
2,12,113.89,22.27,182.16,227.38,272.60,215.93,274.70,333.47,299.34,366.42,433.51
2,18,113.89,22.27,194.85,244.78,294.71,237.16,302.96,368.77,326.52,402.31,478.10
2,24,113.89,22.27,202.19,254.77,307.36,248.94,318.87,388.80,341.82,423.28,504.74
2,48,113.89,22.27,222.61,281.32,340.04,263.02,338.75,414.49,344.17,428.43,512.70
2,72,113.89,22.27,234.71,295.64,356.56,270.99,348.67,426.35,359.33,445.28,531.23
2,96,113.89,22.27,239.80,300.76,361.73,278.52,358.84,439.16,365.17,452.19,539.21
2,120,113.89,22.27,250.04,312.57,375.11,283.39,364.58,445.77,373.40,457.91,542.42
2,144,113.89,22.27,254.83,318.90,382.97,290.10,372.27,454.44,375.58,459.94,544.30
2,168,113.89,22.27,257.36,322.40,387.44,293.79,376.58,459.36,376.47,462.29,548.12
5,1,113.89,22.27,105.73,133.99,162.24,139.23,173.34,207.45,151.74,180.91,210.08
5,2,113.89,22.27,161.07,204.53,247.98,207.82,262.22,316.63,234.47,283.37,332.28
5,3,113.89,22.27,198.80,254.38,309.96,255.10,329.17,403.23,296.85,358.70,420.56
5,4,113.89,22.27,224.88,289.55,354.21,281.06,366.66,452.26,335.30,409.19,483.08
5,5,113.89,22.27,245.17,315.86,386.56,306.20,403.44,500.67,370.48,458.91,547.34
5,6,113.89,22.27,262.28,340.14,417.99,325.41,431.68,537.94,398.02,494.74,591.47
5,9,113.89,22.27,291.75,382.79,473.84,362.24,485.45,608.67,454.51,566.99,679.47
5,12,113.89,22.27,317.18,412.10,507.02,392.44,526.45,660.46,498.87,625.52,752.16
5,18,113.89,22.27,342.93,446.29,549.65,435.10,588.55,742.00,549.78,688.86,827.94
5,24,113.89,22.27,358.10,466.97,575.83,459.07,619.02,778.97,577.98,728.62,879.26
5,48,113.89,22.27,394.43,505.13,615.83,491.00,664.95,838.91,596.85,769.41,941.97
5,72,113.89,22.27,410.30,520.34,630.38,503.79,681.54,859.29,615.81,791.35,966.88
5,96,113.89,22.27,417.30,524.34,631.37,519.99,699.38,878.77,623.27,800.81,978.35
5,120,113.89,22.27,432.02,539.56,647.09,526.96,710.07,893.19,628.49,799.35,970.21
