return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.22,22.33,75.70,87.82,99.94,100.85,122.87,144.88,109.93,133.10,156.28
2,2,114.22,22.33,113.65,133.33,153.02,148.25,184.06,219.87,164.21,202.20,240.20
2,3,114.22,22.33,135.87,160.84,185.81,180.06,226.68,273.29,205.34,253.23,301.12
2,4,114.22,22.33,153.82,183.38,212.94,211.67,266.46,321.26,234.88,288.31,341.74
2,5,114.22,22.33,169.70,202.44,235.18,233.52,292.62,351.73,262.47,320.34,378.21
2,6,114.22,22.33,181.52,216.93,252.34,248.50,310.88,373.25,279.33,339.91,400.50
2,9,114.22,22.33,200.01,240.72,281.43,272.29,345.18,418.07,315.63,384.28,452.94
2,12,114.22,22.33,208.07,250.91,293.74,288.91,366.70,444.48,342.39,418.51,494.63
2,18,114.22,22.33,222.59,268.73,314.86,310.03,393.58,477.13,372.34,460.19,548.04
2,24,114.22,22.33,230.95,280.25,329.56,314.85,401.45,488.05,385.84,479.81,573.77
2,48,114.22,22.33,254.28,310.49,366.71,349.57,439.24,528.90,399.96,500.58,601.21
2,72,114.22,22.33,265.32,322.78,380.24,356.14,445.16,534.19,406.11,508.07,610.02
2,96,114.22,22.33,271.45,328.95,386.45,366.00,455.22,544.43,414.24,515.52,616.80
2,120,114.22,22.33,275.89,332.34,388.80,376.10,467.92,559.73,419.14,521.64,624.15
2,144,114.22,22.33,280.90,338.68,396.47,396.06,495.87,595.68,424.22,528.77,633.32
2,168,114.22,22.33,283.00,341.67,400.34,397.49,499.26,601.03,429.81,536.36,642.90
5,1,114.22,22.33,112.30,131.17,150.05,166.32,201.67,237.02,175.95,212.07,248.20
5,2,114.22,22.33,173.25,205.97,238.68,251.76,308.29,364.83,272.10,337.90,403.71
5,3,114.22,22.33,211.79,255.37,298.95,313.43,388.03,462.62,342.63,431.25,519.87
5,4,114.22,22.33,243.31,295.23,347.15,366.87,450.10,533.33,390.86,491.20,591.55
5,5,114.22,22.33,268.90,326.29,383.68,403.69,496.52,589.35,432.77,540.70,648.64
5,6,114.22,22.33,289.02,351.30,413.58,429.89,529.87,629.85,460.14,571.93,683.73
5,9,114.22,22.33,324.44,401.21,477.99,483.20,605.88,728.56,522.46,645.16,767.86
5,12,114.22,22.33,338.86,420.99,503.13,516.59,654.36,792.13,570.27,703.64,837.01
5,18,114.22,22.33,362.73,449.03,535.33,552.13,703.51,854.89,631.45,782.86,934.26
5,24,114.22,22.33,379.10,471.03,562.95,568.93,731.23,893.53,661.31,826.98,992.65
5,48,114.22,22.33,420.83,521.36,621.88,617.83,787.44,957.06,699.12,890.65,1082.18
5,72,114.22,22.33,433.39,535.45,637.52,623.92,792.78,961.65,707.06,904.31,1101.55
5,96,114.22,22.33,440.10,541.35,642.61,635.52,801.05,966.58,715.27,910.56,1105.84
5,120,114.22,22.33,444.58,547.38,650.18,652.43,821.21,989.99,722.82,920.60,1118.39
5,144,114.22,22.33,451.88,559.49,667.11,691.35,870.41,1049.47,732.80,933.66,1134.52
5,168,114.22,22.33,456.92,568.34,679.76,699.15,886.45,1073.75,745.39,951.10,1156.81
10,1,114.22,22.33,134.13,161.58,189.03,205.34,259.05,312.76,213.07,270.83,328.58
10,2,114.22,22.33,209.78,259.75,309.71,311.66,400.01,488.36,332.98,448.18,563.38
10,3,114.22,22.33,259.12,328.00,396.88,389.82,510.11,630.41,422.62,581.85,741.08
10,4,114.22,22.33,299.12,382.05,464.97,453.97,584.00,714.02,485.60,662.87,840.14
10,5,114.22,22.33,330.81,422.10,513.38,501.72,646.60,791.48,537.92,722.16,906.40
10,6,114.22,22.33,356.30,455.63,554.95,536.39,693.13,849.86,573.07,761.13,949.19
10,9,114.22,22.33,404.98,532.40,659.82,607.44,808.94,1010.43,651.76,851.73,1051.70
10,12,114.22,22.33,423.88,562.13,700.39,654.41,885.87,1117.33,711.64,926.43,1141.22
10,18,114.22,22.33,452.38,595.93,739.48,699.60,955.34,1211.08,788.56,1032.99,1277.42
10,24,114.22,22.33,472.84,626.10,779.36,725.13,1006.66,1288.18,829.66,1100.94,1372.22
10,48,114.22,22.33,523.14,690.33,857.53,786.68,1076.53,1366.38,888.52,1217.71,1546.90
10,72,114.22,22.33,535.90,703.88,871.85,794.10,1082.57,1371.04,896.80,1241.83,1586.85
10,96,114.22,22.33,542.93,708.30,873.68,807.65,1085.61,1363.57,906.32,1245.53,1584.74
10,120,114.22,22.33,549.99,720.45,890.92,827.01,1108.60,1390.19,915.03,1259.01,1602.99
10,144,114.22,22.33,558.82,739.33,919.84,873.83,1170.05,1466.27,927.39,1276.04,1624.68
10,168,114.22,22.33,566.59,755.50,944.41,887.24,1202.60,1517.96,945.66,1303.19,1660.73
25,1,114.22,22.33,156.44,202.06,247.69,242.97,338.07,433.17,241.09,353.34,465.59
25,2,114.22,22.33,247.45,334.95,422.45,362.44,527.93,693.41,372.57,616.12,859.68
25,3,114.22,22.33,308.28,433.06,557.85,449.54,684.25,918.96,478.03,819.85,1161.68
25,4,114.22,22.33,356.23,508.81,661.40,520.57,768.63,1016.69,563.10,934.22,1305.35
25,5,114.22,22.33,394.55,561.55,728.55,583.59,855.32,1127.05,634.04,1001.87,1369.69
25,6,114.22,22.33,425.81,607.98,790.15,629.44,922.86,1216.28,681.43,1050.14,1418.86
