return_period,duration,longitude,latitude,historical_low_mm/hour,historical_mm/hour,historical_upp_mm/hour,ssp245_low_mm/hour,ssp245_mm/hour,ssp245_upp_mm/hour,ssp585_low_mm/hour,ssp585_mm/hour,ssp585_upp_mm/hour
2,1,114.280,22.405,84.280,97.740,111.200,95.210,110.880,126.540,116.790,138.330,159.880
2,2,114.280,22.405,122.010,141.970,161.930,135.350,160.470,185.600,171.950,205.140,238.330
2,3,114.280,22.405,144.500,168.870,193.230,165.020,197.820,230.610,213.140,253.520,293.890
2,4,114.280,22.405,159.570,187.220,214.880,184.750,224.110,263.470,244.920,292.560,340.190
2,5,114.280,22.405,172.200,202.700,233.190,204.470,247.590,290.710,264.040,317.160,370.270
2,6,114.280,22.405,181.450,214.350,247.250,219.610,266.510,313.410,281.960,339.570,397.180
2,9,114.280,22.405,199.210,235.280,271.360,250.800,306.630,362.460,321.640,388.220,454.810
2,12,114.280,22.405,205.880,242.930,279.990,275.630,338.080,400.540,343.060,416.540,490.020
2,18,114.280,22.405,217.120,256.150,295.190,287.220,353.530,419.830,363.910,449.020,534.130
2,24,114.280,22.405,226.280,268.320,310.360,299.230,367.890,436.550,374.890,464.340,553.790
2,48,114.280,22.405,246.880,294.700,342.520,324.380,394.980,465.580,387.080,482.470,577.860
2,72,114.280,22.405,262.820,313.560,364.300,334.160,403.200,472.240,399.210,494.110,589.000
2,96,114.280,22.405,272.090,324.600,377.110,342.120,410.410,478.700,411.820,508.030,604.230
2,120,114.280,22.405,281.640,334.720,387.800,349.930,419.350,488.780,413.680,511.010,608.330
2,144,114.280,22.405,288.870,344.220,399.560,360.050,431.680,503.310,413.440,513.000,612.560
2,168,114.280,22.405,288.520,342.210,395.900,362.900,435.410,507.930,420.570,525.360,630.160
5,1,114.280,22.405,125.630,148.970,172.310,143.210,170.110,197.020,180.560,215.840,251.120
5,2,114.280,22.405,183.270,218.000,252.730,210.060,252.560,295.060,268.730,325.240,381.750
5,3,114.280,22.405,219.980,263.970,307.950,260.900,314.820,368.740,330.780,399.060,467.330
5,4,114.280,22.405,246.330,299.490,352.640,298.180,359.290,420.390,383.320,463.570,543.820
5,5,114.280,22.405,267.820,326.830,385.840,329.100,393.740,458.380,419.810,509.740,599.680
5,6,114.280,22.405,284.170,348.840,413.520,354.970,422.750,490.540,450.910,547.440,643.970
5,9,114.280,22.405,311.900,385.300,458.690,410.040,486.610,563.170,515.690,621.060,726.420
5,12,114.280,22.405,321.300,398.410,475.520,451.970,534.660,617.360,556.360,671.110,785.870
5,18,114.280,22.405,338.350,420.160,501.970,477.510,573.310,669.110,607.900,743.500,879.110
5,24,114.280,22.405,355.690,443.470,531.260,498.460,603.320,708.180,632.080,780.760,929.440
5,48,114.280,22.405,391.940,495.090,598.240,534.620,654.470,774.310,664.500,852.710,1040.920
5,72,114.280,22.405,415.930,518.640,621.350,541.540,661.350,781.160,676.690,862.900,1049.100
5,96,114.280,22.405,428.420,533.770,639.130,548.270,666.630,784.990,694.080,881.700,1069.310
5,120,114.280,22.405,439.510,547.600,655.700,559.040,678.760,798.480,700.280,888.430,1076.580
5,144,114.280,22.405,449.700,561.610,673.530,574.540,697.440,820.340,707.680,903.960,1100.240
5,168,114.280,22.405,448.430,559.190,669.950,580.460,709.590,838.730,728.460,942.600,1156.730
10,1,114.280,22.405,151.910,187.920,223.940,173.430,214.840,256.250,218.520,273.470,328.420
10,2,114.280,22.405,222.300,276.150,329.990,255.740,322.840,389.950,325.940,418.450,510.970
10,3,114.280,22.405,268.950,338.440,407.930,318.100,402.550,487.000,400.900,510.970,621.040
10,4,114.280,22.405,304.190,391.420,478.660,364.320,458.370,552.420,465.320,594.130,722.930
10,5,114.280,22.405,331.750,428.950,526.150,401.290,496.560,591.820,512.030,657.680,803.330
10,6,114.280,22.405,353.110,460.570,568.040,432.580,529.450,626.320,551.120,706.100,861.080
10,9,114.280,22.405,388.510,513.440,638.380,498.880,605.030,711.190,628.080,790.930,953.780
10,12,114.280,22.405,400.190,534.540,668.890,548.250,661.520,774.790,679.270,856.340,1033.420
10,18,114.280,22.405,421.040,564.740,708.430,585.540,723.940,862.340,746.970,963.840,1180.710
10,24,114.280,22.405,442.830,597.840,752.840,615.270,771.390,927.510,780.430,1023.660,1266.900
10,48,114.280,22.405,488.360,677.190,866.030,663.650,852.240,1040.830,837.050,1171.090,1505.120
10,72,114.280,22.405,515.610,696.980,878.350,669.970,860.650,1051.340,849.770,1179.180,1508.580
10,96,114.280,22.405,527.460,716.050,904.640,676.410,864.230,1052.060,870.600,1199.730,1528.850
10,120,114.280,22.405,539.980,735.640,931.300,688.370,877.660,1066.940,878.670,1209.210,1539.760
10,144,114.280,22.405,550.670,751.880,953.100,706.710,901.140,1095.580,889.490,1242.100,1594.710
10,168,114.280,22.405,550.520,752.430,954.330,716.370,926.240,1136.120,925.110,1317.100,1709.090
25,1,114.280,22.405,180.780,243.730,306.670,206.140,278.510,350.880,254.120,354.390,454.660
25,2,114.280,22.405,265.060,359.910,454.760,300.030,423.900,547.780,375.140,554.530,733.920
